"","ENSEMBL","SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std","Category"
"ENSG00000147416.10","ENSG00000147416.10","ATP6V1B2",0.249892100398034,4.71139593740415,4.32619730558613,9.33388981512348e-05,0.0136659444713303,1.38904863882203,3.90728535047922,"p-value"
"ENSG00000168944.15","ENSG00000168944.15","CEP120",0.411889176243542,2.87725664877049,4.32803926912715,9.37692445760951e-05,0.0136659444713303,1.39339295514268,3.90617337544856,"p-value"
"ENSG00000144559.10","ENSG00000144559.10","TAMM41",0.382677450641184,2.72352844084787,4.31890189044582,9.63540010689943e-05,0.0138249318277986,1.31628640909509,3.89959430904063,"p-value"
"ENSG00000104695.12","ENSG00000104695.12","PPP2CB",0.192122120714187,4.54557697642302,4.28041939923779,0.000109195678517489,0.015096631739945,1.25181340699175,3.86919412108874,"p-value"
"ENSG00000006652.13","ENSG00000006652.13","IFRD1",0.42311322157368,5.1549271730934,4.26574485233821,0.000110899274228589,0.015096631739945,1.18757852225634,3.86541762627239,"p-value"
"ENSG00000244716.3","ENSG00000244716.3","RP11-20O24.4",0.336820732024461,3.69400843864049,4.26255869254055,0.000112550718474465,0.015096631739945,1.16509201693587,3.86180862200799,"p-value"
"ENSG00000225137.1","ENSG00000225137.1","DYNC1I2P1",0.400073165095674,2.83040209557409,4.27173698156504,0.000114189229217802,0.015096631739945,1.21643267281773,3.8582769137465,"p-value"
"ENSG00000142583.17","ENSG00000142583.17","SLC2A5",-0.361448899825946,4.14906229900782,-4.25772334129909,0.000116760219300983,0.0151328487550549,1.13971044182908,-3.85283050087826,"p-value"
"ENSG00000106588.10","ENSG00000106588.10","PSMA2",0.26549360484424,4.27501349236512,4.25464826793175,0.000116915952886318,0.0151328487550549,1.1544783351727,3.85250423725933,"p-value"
"ENSG00000114354.13","ENSG00000114354.13","TFG",0.252345763924846,4.38415500143227,4.21371977122944,0.000119312438622158,0.015335791155955,1.14686321417463,3.84753458450666,"p-value"
"ENSG00000224837.1","ENSG00000224837.1","GCSHP5",0.471572252462277,2.5272025970118,4.2260009769238,0.000122554304825801,0.0156438457104879,1.11424255629557,3.84095956078578,"p-value"
"ENSG00000173276.13","ENSG00000173276.13","ZBTB21",0.416471493468221,2.55232310212998,4.2347674739196,0.000123517034411316,0.0156587451364318,1.09585553777085,3.83903855741934,"p-value"
"ENSG00000246859.2","ENSG00000246859.2","STARD4-AS1",-0.332107405271618,4.11273471875288,-4.22497506942494,0.000128758243416515,0.0161035582497799,1.05553072590588,-3.82882170237929,"p-value"
"ENSG00000134243.11","ENSG00000134243.11","SORT1",0.15602354724551,6.90454925834609,4.22515421481985,0.000128765823165348,0.0161035582497799,1.04926688654467,3.82880721285084,"p-value"
"ENSG00000067113.16","ENSG00000067113.16","PLPP1",0.267539048002682,4.42545939874617,4.21193910590837,0.000131845968620932,0.0162461338223982,1.02255912342946,3.82298469057723,"p-value"
"ENSG00000144827.8","ENSG00000144827.8","ABHD10",0.38111741118635,3.18284175412153,4.20681106397747,0.000132893194120444,0.0162461338223982,1.0356064961324,3.82103424783606,"p-value"
"ENSG00000164414.17","ENSG00000164414.17","SLC35A1",0.4444536082551,2.5019867299756,4.22249038822657,0.000134145129538744,0.0162461338223982,1.07960490794451,3.81872145196364,"p-value"
"ENSG00000215790.6","ENSG00000215790.6","SLC35E2",-0.478797327843374,2.46812267253689,-4.21346743781145,0.000135272553326574,0.016258179802088,1.13438145226642,-3.81665601359879,"p-value"
"ENSG00000135372.8","ENSG00000135372.8","NAT10",-0.30887538945219,3.79384916621583,-4.12015827221412,0.000139116864970315,0.0164719537292137,0.951062487484228,-3.80973314620302,"p-value"
"ENSG00000141404.15","ENSG00000141404.15","GNAL",0.240240574390613,4.37948302679492,4.19855101244458,0.000139721040331004,0.0164719537292137,0.976143411605533,3.80866156332551,"p-value"
"ENSG00000164654.15","ENSG00000164654.15","MIOS",0.271740059171628,4.85941260797961,4.18986638357798,0.000140787559758162,0.0164926388833153,0.970927392630513,3.80678056172126,"p-value"
"ENSG00000105136.20","ENSG00000105136.20","ZNF419",-0.364131485398873,2.31251862241336,-4.18296098258272,0.000143297463823443,0.016511814755515,0.977759596296427,-3.80240631000768,"p-value"
